OrderID,MemberID,StoreID,CampaignID,OrderDate,SubTotal,Total
R00096,M00296,S00006,,26/03/2023,100,101.5
R00097,M00023,S00004,C00031,15/04/2023,110,111.65
R00098,M00216,S00015,,18/02/2023,25,25.25
R00099,M00037,S00010,,24/02/2023,80,80.8
R00100,M00090,S00017,,19/08/2023,180,183.6
R00101,M00105,S00009,,22/05/2023,190,191.9
R00102,M00299,S00015,,08/06/2023,25,25.25
R00103,M00022,S00020,C00026,20/02/2023,55,55.82
R00104,M00158,S00004,,27/11/2023,135,137.02
R00105,M00119,S00019,C00040,13/03/2023,55,56.1
R00106,M00180,S00017,C00017,15/04/2023,210,213.15
R00107,M00195,S00001,,09/05/2023,55,55.55
R00108,M00244,S00006,,20/11/2023,55,56.1
R00109,M00190,S00017,,20/08/2023,100,101.5
R00110,M00195,S00002,,19/05/2023,225,227.25
R00111,M00244,S00014,,07/10/2023,145,147.17
R00112,M00041,S00016,,29/07/2023,85,86.28
R00113,M00278,S00011,C00034,03/05/2023,100,101
R00114,M00137,S00020,C00054,21/04/2023,55,56.1
R00115,M00061,S00018,,14/12/2023,25,25.37
R00116,M00040,S00002,C00028,04/05/2023,110,111.65
R00117,M00262,S00005,C00012,26/03/2023,25,25.37
R00118,M00241,S00015,,13/08/2023,135,137.7
R00119,M00156,S00011,,18/10/2023,135,137.02
R00120,M00213,S00011,C00029,14/03/2023,160,163.2
R00121,M00245,S00012,,06/03/2023,210,214.2
R00122,M00262,S00004,,14/04/2023,160,161.6
R00123,M00229,S00019,,01/11/2023,55,55.55
R00124,M00053,S00011,C00034,19/04/2023,25,25.5
R00125,M00075,S00005,C00013,29/04/2023,165,168.3
R00126,M00065,S00010,,16/04/2023,155,156.55
R00127,M00100,S00011,,10/09/2023,50,50.75
R00128,M00286,S00011,C00015,06/04/2023,55,56.1
R00129,M00050,S00015,,20/05/2023,55,55.55
R00130,M00092,S00002,C00028,30/03/2023,35,35.7
R00131,M00179,S00020,,23/05/2023,90,91.8
R00132,M00079,S00011,,30/09/2023,135,137.02
R00133,M00230,S00005,,20/03/2023,90,91.8
R00134,M00251,S00005,C00013,25/05/2023,165,167.48
R00135,M00182,S00006,,25/07/2023,110,112.2
R00136,M00254,S00012,,23/10/2023,200,203
R00137,M00179,S00020,C00054,17/04/2023,35,35.35
R00138,M00118,S00014,C00025,20/03/2023,55,55.82
R00139,M00084,S00014,,21/03/2023,155,156.55
R00140,M00075,S00005,C00013,19/05/2023,35,35.7
R00141,M00237,S00011,C00034,08/05/2023,55,56.1
R00142,M00027,S00015,,23/10/2023,90,91.35
R00143,M00241,S00019,,26/09/2023,25,25.5
R00144,M00264,S00019,,20/04/2023,135,136.35
R00145,M00141,S00010,C00033,18/06/2023,110,111.65
R00146,M00081,S00020,,13/03/2023,125,126.87
R00147,M00027,S00005,C00012,28/04/2023,80,80.8
R00148,M00118,S00005,C00013,28/04/2023,55,55.55
R00149,M00082,S00002,C00028,29/04/2023,55,55.55
R00150,M00062,S00006,,25/05/2023,145,147.17
R00151,M00067,S00005,C00013,16/06/2023,180,183.6
R00152,M00204,S00012,,17/10/2023,190,192.85
R00153,M00107,S00011,C00019,12/04/2023,125,126.87
R00154,M00182,S00004,,27/06/2023,55,55.82
R00155,M00105,S00009,C00052,20/04/2023,190,191.9
R00156,M00286,S00018,C00001,19/02/2023,135,137.7
R00157,M00006,S00001,,11/07/2023,60,60.9
R00158,M00104,S00015,,08/02/2023,145,146.45
R00159,M00072,S00012,C00002,05/06/2023,145,147.9
R00160,M00176,S00001,,12/04/2023,90,90.9
R00161,M00276,S00002,,08/08/2023,110,112.2
R00162,M00010,S00004,,25/05/2023,35,35.52
R00163,M00275,S00002,C00024,31/05/2023,160,161.6
R00164,M00201,S00007,C00049,24/05/2023,55,55.82
R00165,M00190,S00019,,27/06/2023,90,90.9
R00166,M00101,S00007,C00049,06/06/2023,90,91.8
R00167,M00039,S00004,,30/08/2023,125,126.25
R00168,M00228,S00020,C00054,27/04/2023,25,25.25
R00169,M00174,S00013,,03/10/2023,100,102
R00170,M00163,S00020,C00026,11/03/2023,80,81.2
R00171,M00007,S00008,C00009,20/05/2023,180,183.6
R00172,M00063,S00014,C00037,31/03/2023,90,91.35
R00173,M00258,S00012,,20/06/2023,180,182.7
R00174,M00015,S00014,,13/05/2023,210,212.1
R00175,M00001,S00013,,15/09/2023,145,147.17
R00176,M00155,S00004,,12/09/2023,55,55.82
R00177,M00006,S00002,,12/06/2023,25,25.25
R00178,M00136,S00006,,25/05/2023,80,81.6
R00179,M00009,S00013,,30/09/2023,135,136.35
R00180,M00136,S00019,,23/06/2023,125,126.87
R00181,M00096,S00001,,29/08/2023,85,86.7
R00182,M00206,S00003,,09/09/2023,55,55.55
R00183,M00191,S00016,C00010,08/05/2023,135,137.7
R00184,M00214,S00004,C00018,18/05/2023,180,183.6
R00185,M00092,S00018,C00027,07/06/2023,80,81.2
R00186,M00099,S00002,C00028,24/04/2023,180,182.7
R00187,M00234,S00018,,26/08/2023,155,157.32
R00188,M00024,S00019,,12/05/2023,80,80.8
R00189,M00174,S00015,,24/09/2023,80,80.8
R00190,M00029,S00011,C00034,18/04/2023,110,112.2
R00191,M00147,S00011,C00034,10/04/2023,170,171.7
R00192,M00184,S00017,,27/11/2023,55,55.82
R00193,M00043,S00020,,14/11/2023,75,75.75
R00194,M00101,S00018,,10/03/2023,80,80.8
R00195,M00100,S00018,,16/08/2023,110,111.1
R00196,M00243,S00010,C00033,24/06/2023,90,91.8
R00197,M00020,S00004,,15/09/2023,150,152.25
R00198,M00037,S00010,C00051,29/05/2023,80,80.8
R00199,M00266,S00011,,16/05/2023,110,111.1
R00200,M00026,S00008,,06/08/2023,110,111.65
R00201,M00052,S00001,,28/04/2023,255,260.1
R00202,M00073,S00017,C00014,16/04/2023,135,137.7
R00203,M00140,S00011,C00007,23/03/2023,180,183.6
R00204,M00253,S00011,,09/10/2023,100,102
R00205,M00228,S00020,,30/09/2023,255,257.55
R00206,M00199,S00010,,01/06/2023,160,163.2
R00207,M00242,S00012,,21/07/2023,90,91.8
R00208,M00276,S00007,,21/07/2023,80,80.8
R00209,M00253,S00008,,15/09/2023,170,173.4
R00210,M00221,S00005,,08/09/2023,145,147.17
R00211,M00290,S00007,,17/10/2023,90,91.8
R00212,M00090,S00014,C00025,02/04/2023,210,214.2
R00213,M00095,S00014,,05/03/2023,155,156.55
R00214,M00220,S00014,C00022,22/03/2023,55,55.82
R00215,M00247,S00018,C00048,18/05/2023,125,126.25
R00216,M00096,S00018,,01/08/2023,125,126.87
R00217,M00103,S00014,C00006,26/06/2023,70,70.7
R00218,M00114,S00011,C00019,26/04/2023,125,127.5
R00219,M00165,S00017,,24/06/2023,25,25.37
R00220,M00198,S00001,,12/11/2023,25,25.5
R00221,M00142,S00017,C00014,20/04/2023,180,182.7
R00222,M00156,S00002,,05/09/2023,110,111.65
R00223,M00234,S00011,C00029,14/03/2023,25,25.25
R00224,M00127,S00011,C00019,16/03/2023,115,117.3
R00225,M00151,S00016,,06/11/2023,55,55.82
R00226,M00031,S00016,,17/04/2023,155,157.32
R00227,M00297,S00017,,12/08/2023,155,157.32
R00228,M00092,S00011,C00029,26/02/2023,55,56.1
R00229,M00147,S00015,,12/06/2023,155,156.55
R00230,M00232,S00020,C00032,08/03/2023,35,35.52
R00231,M00106,S00005,,13/09/2023,110,112.2
R00232,M00286,S00011,,03/06/2023,255,258.82
R00233,M00177,S00014,C00025,19/03/2023,125,127.5
R00234,M00299,S00003,C00011,11/03/2023,105,107.1
R00235,M00079,S00002,,25/09/2023,55,55.55
R00236,M00014,S00010,C00051,09/05/2023,125,126.25
R00237,M00153,S00017,C00017,08/04/2023,165,168.3
R00238,M00041,S00014,C00025,11/03/2023,135,137.7
R00239,M00013,S00015,,07/02/2023,70,71.05
R00240,M00189,S00003,,09/03/2023,155,158.1
R00241,M00238,S00019,C00040,20/04/2023,160,163.2
R00242,M00065,S00013,,04/05/2023,25,25.25
R00243,M00126,S00003,,22/12/2023,170,173.4
R00244,M00282,S00017,,09/03/2023,55,55.55
R00245,M00217,S00002,C00055,21/04/2023,135,137.02
R00246,M00251,S00004,,25/07/2023,200,202
R00247,M00132,S00002,C00055,27/04/2023,105,107.1
R00248,M00259,S00015,,12/03/2023,135,137.02
R00249,M00279,S00012,,18/09/2023,55,56.1
R00250,M00037,S00019,,27/03/2023,115,116.72
R00251,M00147,S00017,,01/06/2023,125,127.5
R00252,M00116,S00019,,08/02/2023,255,260.1
R00253,M00091,S00005,,28/02/2023,90,91.8
R00254,M00097,S00013,,20/09/2023,115,117.3
R00255,M00050,S00019,,28/04/2023,190,192.85
R00256,M00240,S00013,,26/04/2023,135,137.7
R00257,M00094,S00014,C00025,13/04/2023,125,126.25
R00258,M00240,S00005,,11/06/2023,135,137.7
R00259,M00086,S00011,C00007,08/04/2023,165,166.65
R00260,M00050,S00020,,02/06/2023,135,136.35
R00261,M00239,S00018,,13/05/2023,25,25.37
R00262,M00114,S00013,,13/05/2023,35,35.35
R00263,M00155,S00014,C00004,28/02/2023,35,35.52
R00264,M00158,S00005,,02/11/2023,160,163.2
R00265,M00155,S00020,,10/09/2023,80,81.6
R00266,M00197,S00017,C00045,18/03/2023,110,112.2
R00267,M00092,S00006,,13/02/2023,255,260.1
R00268,M00026,S00003,,31/07/2023,60,60.9
R00269,M00112,S00014,C00025,24/03/2023,80,80.8
R00270,M00185,S00007,,12/03/2023,180,183.6
R00271,M00261,S00009,C00042,14/05/2023,155,157.32
R00272,M00190,S00010,C00005,28/02/2023,255,260.1
R00273,M00300,S00010,C00051,03/06/2023,110,111.65
R00274,M00170,S00006,,14/03/2023,200,204
R00275,M00093,S00015,,24/10/2023,125,127.5
R00276,M00096,S00020,,21/08/2023,145,147.17
R00277,M00232,S00005,,19/07/2023,100,101.5
R00278,M00291,S00005,,15/03/2023,125,126.87
R00279,M00218,S00013,C00038,18/03/2023,25,25.25
R00280,M00255,S00015,C00046,06/03/2023,125,126.25
R00281,M00251,S00011,C00015,19/05/2023,110,112.2
R00282,M00094,S00017,,07/06/2023,135,137.7
R00283,M00020,S00012,,06/10/2023,145,146.45
R00284,M00098,S00004,C00018,11/04/2023,60,60.9
R00285,M00216,S00002,C00028,02/05/2023,25,25.37
R00286,M00010,S00010,,07/06/2023,55,55.55
R00287,M00105,S00017,C00017,03/03/2023,180,183.6
R00288,M00281,S00012,,04/07/2023,55,56.1
R00289,M00299,S00004,,18/04/2023,135,137.02
R00290,M00222,S00007,,17/07/2023,115,117.3
R00291,M00202,S00017,,25/07/2023,125,126.25
R00292,M00097,S00003,,30/08/2023,55,55.55
R00293,M00059,S00012,,30/06/2023,155,158.1
R00294,M00035,S00003,C00043,25/02/2023,35,35.7
R00295,M00052,S00014,C00039,25/03/2023,190,191.9
R00296,M00221,S00018,C00048,24/05/2023,25,25.5
R00297,M00021,S00011,,05/12/2023,105,106.57
R00298,M00266,S00010,,29/04/2023,100,102
R00299,M00092,S00011,,24/01/2023,55,55.82
R00300,M00220,S00009,,01/12/2023,60,60.9
R00301,M00275,S00002,,30/04/2023,190,191.9
R00302,M00024,S00020,C00032,10/04/2023,165,167.48
R00303,M00176,S00004,,11/03/2023,85,86.28
R00304,M00273,S00016,C00010,27/04/2023,145,147.9
R00305,M00034,S00015,C00035,12/05/2023,100,102
R00306,M00159,S00003,C00050,25/04/2023,125,126.87
R00307,M00206,S00004,C00031,07/04/2023,90,90.9
R00308,M00296,S00016,,29/03/2023,90,90.9
R00309,M00179,S00005,,03/06/2023,160,163.2
R00310,M00147,S00013,,04/07/2023,155,156.55
R00311,M00082,S00008,,12/05/2023,35,35.7
R00312,M00271,S00007,,19/03/2023,135,137.7
R00313,M00062,S00009,,06/06/2023,235,239.7
R00314,M00132,S00003,C00050,06/04/2023,80,80.8
R00315,M00011,S00018,,25/10/2023,55,56.1
R00316,M00042,S00020,C00054,22/03/2023,255,257.55
R00317,M00178,S00006,,18/09/2023,235,238.52
R00318,M00161,S00002,,08/11/2023,110,111.1
R00319,M00260,S00003,,12/06/2023,55,55.82
R00320,M00299,S00011,,04/06/2023,165,167.48
R00321,M00150,S00014,C00039,19/04/2023,190,193.8
R00322,M00265,S00015,C00046,02/04/2023,100,101
R00323,M00191,S00020,C00054,19/04/2023,55,56.1
R00324,M00259,S00011,,26/03/2023,70,71.05
R00325,M00071,S00007,C00049,25/05/2023,55,55.55
R00326,M00041,S00017,,07/07/2023,55,55.55
R00327,M00064,S00007,,30/08/2023,55,55.55
R00328,M00156,S00018,,19/09/2023,125,127.5
R00329,M00164,S00010,,21/11/2023,180,183.6
R00330,M00213,S00007,,22/03/2023,55,55.55
R00331,M00203,S00014,C00004,14/04/2023,55,55.55
R00332,M00241,S00017,,04/09/2023,70,70.7
R00333,M00252,S00003,,31/01/2023,80,81.6
R00334,M00240,S00003,,05/06/2023,25,25.37
R00335,M00020,S00003,C00043,25/03/2023,135,136.35
R00336,M00183,S00009,,20/02/2023,70,71.05
R00337,M00118,S00005,,22/06/2023,210,212.1
R00338,M00284,S00014,,03/05/2023,155,158.1
R00339,M00282,S00020,,02/03/2023,155,158.1
R00340,M00100,S00002,C00028,11/05/2023,180,181.8
R00341,M00047,S00012,,22/09/2023,105,106.57
R00342,M00018,S00017,,15/02/2023,165,167.48
R00343,M00240,S00011,C00034,19/05/2023,115,117.3
R00344,M00294,S00004,,02/10/2023,155,157.32
R00345,M00066,S00006,,19/05/2023,155,158.1
R00346,M00297,S00015,C00046,14/03/2023,125,127.5
R00347,M00134,S00011,C00015,23/05/2023,145,146.45
R00348,M00006,S00018,C00047,22/04/2023,80,80.8
R00349,M00063,S00017,,06/08/2023,55,55.55
R00350,M00296,S00018,,10/05/2023,55,55.82
R00351,M00169,S00006,,09/03/2023,25,25.25
R00352,M00292,S00004,,05/05/2023,190,193.8
R00353,M00035,S00009,C00042,05/06/2023,95,96.9
R00354,M00132,S00003,,10/07/2023,25,25.5
R00355,M00298,S00017,C00017,08/04/2023,60,61.2
R00356,M00117,S00006,,19/02/2023,125,126.25
R00357,M00131,S00011,C00019,12/04/2023,105,106.05
R00358,M00272,S00010,,10/03/2023,55,56.1
R00359,M00129,S00015,,26/03/2023,85,85.85
R00360,M00250,S00013,,23/02/2023,110,111.65
R00361,M00267,S00004,,23/05/2023,155,157.32
R00362,M00184,S00010,C00033,10/05/2023,155,156.55
R00363,M00113,S00003,C00011,15/03/2023,55,55.82
R00364,M00279,S00004,,18/09/2023,55,55.82
R00365,M00001,S00018,,06/10/2023,210,212.1
R00366,M00203,S00007,C00003,30/03/2023,95,96.42
R00367,M00132,S00017,C00045,04/05/2023,55,55.82
R00368,M00285,S00005,,09/11/2023,55,56.1
R00369,M00081,S00017,,01/04/2023,50,50.75
R00370,M00099,S00007,C00003,29/03/2023,35,35.52
R00371,M00102,S00005,C00013,04/05/2023,115,117.3
R00372,M00057,S00015,,08/05/2023,100,101.5
R00373,M00191,S00012,,08/10/2023,55,55.55
R00374,M00257,S00003,,16/10/2023,50,50.75
R00375,M00022,S00011,C00007,18/04/2023,60,60.9
R00376,M00273,S00020,C00044,04/04/2023,105,106.05
R00377,M00175,S00008,,16/08/2023,210,212.1
R00378,M00051,S00020,,09/07/2023,180,181.8
R00379,M00160,S00010,,03/02/2023,60,60.6
R00380,M00007,S00017,,15/09/2023,180,181.8
R00381,M00290,S00010,C00005,22/04/2023,135,137.02
R00382,M00019,S00006,C00008,13/03/2023,115,116.15
R00383,M00083,S00014,C00006,15/06/2023,35,35.7
R00384,M00036,S00017,C00020,05/03/2023,115,116.15
R00385,M00132,S00003,C00050,09/04/2023,190,192.85
R00386,M00193,S00004,,01/12/2023,90,90.9
R00387,M00084,S00020,C00032,01/03/2023,165,167.48
R00388,M00031,S00001,,15/05/2023,115,116.15
R00389,M00045,S00002,C00055,29/05/2023,110,111.65
R00390,M00058,S00002,C00055,16/06/2023,35,35.7
R00391,M00112,S00020,C00032,20/03/2023,125,127.5
R00392,M00153,S00016,,05/07/2023,100,102
R00393,M00045,S00008,,29/11/2023,160,163.2
R00394,M00167,S00019,,11/07/2023,80,81.6
R00395,M00022,S00015,C00046,02/04/2023,100,101
R00396,M00287,S00001,,14/03/2023,180,182.7
R00397,M00242,S00001,,20/07/2023,35,35.35
R00398,M00101,S00012,,21/04/2023,200,203
R00399,M00034,S00017,C00045,03/05/2023,35,35.35
R00400,M00079,S00020,,08/09/2023,160,162.4
R00401,M00290,S00006,C00008,26/03/2023,210,212.1
R00402,M00167,S00007,C00049,18/05/2023,60,60.9
R00403,M00079,S00010,,02/10/2023,135,136.35
R00404,M00049,S00006,,16/02/2023,55,56.1
R00405,M00253,S00016,,14/10/2023,75,76.12
R00406,M00081,S00004,,31/03/2023,210,214.2
R00407,M00231,S00018,C00048,27/06/2023,135,137.02
R00408,M00214,S00013,,20/01/2023,50,51
R00409,M00215,S00001,,19/04/2023,35,35.52
R00410,M00103,S00014,C00006,26/06/2023,155,157.32
R00411,M00162,S00014,C00037,06/04/2023,125,126.25
R00412,M00106,S00005,,12/10/2023,110,111.65
R00413,M00089,S00009,,17/04/2023,100,102
R00414,M00052,S00003,C00050,05/04/2023,180,181.8
R00415,M00023,S00011,C00029,13/03/2023,55,55.82
R00416,M00293,S00007,,26/04/2023,105,107.1
R00417,M00201,S00011,,06/04/2023,85,86.7
R00418,M00026,S00012,C00021,15/06/2023,90,90.9
R00419,M00138,S00012,C00002,03/06/2023,225,228.37
R00420,M00183,S00007,,23/02/2023,55,56.1
R00421,M00158,S00018,,12/10/2023,60,61.2
R00422,M00025,S00016,C00036,16/04/2023,155,156.55
R00423,M00063,S00020,C00032,12/04/2023,55,56.1
R00424,M00226,S00005,,08/03/2023,25,25.5
R00425,M00272,S00020,C00032,22/03/2023,210,214.2
R00426,M00059,S00020,C00032,29/03/2023,200,202
R00427,M00126,S00018,C00047,23/05/2023,70,71.4
R00428,M00108,S00005,,20/11/2023,55,55.82
R00429,M00208,S00009,C00042,30/05/2023,100,101.5
R00430,M00209,S00002,C00055,09/06/2023,90,90.9
R00431,M00112,S00003,C00050,31/03/2023,255,260.1
R00432,M00274,S00017,C00016,25/02/2023,85,85.85
R00433,M00014,S00018,C00048,05/06/2023,115,116.15
R00434,M00030,S00007,,07/05/2023,135,136.35
R00435,M00043,S00002,,19/09/2023,35,35.35
R00436,M00169,S00004,,27/01/2023,55,55.82
R00437,M00193,S00007,C00003,10/03/2023,210,213.15
R00438,M00300,S00019,,21/03/2023,55,55.55
R00439,M00180,S00009,,02/09/2023,135,137.7
R00440,M00231,S00010,,06/05/2023,165,166.65
R00441,M00008,S00015,,13/09/2023,100,102
R00442,M00014,S00017,,08/10/2023,70,70.7
R00443,M00142,S00009,,15/04/2023,100,101
R00444,M00029,S00014,C00022,03/04/2023,135,137.02
R00445,M00157,S00002,,22/10/2023,110,111.65
R00446,M00298,S00019,,22/08/2023,55,55.55
R00447,M00051,S00014,,26/05/2023,50,51
R00448,M00293,S00001,,03/05/2023,110,112.2
R00449,M00222,S00012,,06/07/2023,210,213.15
R00450,M00020,S00016,,12/09/2023,25,25.25
R00451,M00195,S00004,,11/05/2023,60,60.6
R00452,M00148,S00012,C00021,12/05/2023,210,214.2
R00453,M00025,S00012,C00002,11/05/2023,100,102
R00454,M00108,S00008,,28/10/2023,25,25.37
R00455,M00184,S00020,,12/11/2023,110,111.1
R00456,M00089,S00015,C00035,07/05/2023,60,60.9
R00457,M00101,S00015,,28/03/2023,210,213.15
R00458,M00119,S00018,,16/09/2023,100,102
R00459,M00017,S00017,C00014,19/03/2023,60,60.6
R00460,M00046,S00003,C00011,07/03/2023,155,158.1
R00461,M00209,S00011,C00029,21/03/2023,105,106.57
R00462,M00210,S00017,C00017,10/04/2023,55,55.82
R00463,M00186,S00014,,21/07/2023,145,146.45
R00464,M00259,S00019,,13/04/2023,135,137.7
R00465,M00147,S00005,C00041,08/06/2023,25,25.5
R00466,M00174,S00001,,09/11/2023,35,35.35
R00467,M00219,S00020,,12/03/2023,110,111.65
R00468,M00154,S00013,,13/03/2023,125,127.5
R00469,M00124,S00011,,02/09/2023,145,146.45
R00470,M00292,S00007,,18/05/2023,135,137.02
R00471,M00105,S00002,,07/05/2023,25,25.5
R00472,M00233,S00009,,28/02/2023,160,162.4
R00473,M00147,S00012,C00002,06/06/2023,25,25.5
R00474,M00093,S00014,C00022,08/03/2023,55,56.1
R00475,M00225,S00010,,22/06/2023,85,86.7
R00476,M00245,S00011,C00007,26/04/2023,135,137.7
R00477,M00155,S00018,,06/08/2023,25,25.5
R00478,M00243,S00017,,26/11/2023,190,192.85
R00479,M00025,S00004,,11/06/2023,60,60.9
R00480,M00074,S00011,,16/09/2023,110,112.2
R00481,M00178,S00001,,14/09/2023,190,192.85
R00482,M00082,S00016,C00010,21/03/2023,100,101
R00483,M00118,S00010,,15/06/2023,155,156.55
R00484,M00220,S00004,,25/10/2023,90,91.8
R00485,M00210,S00006,,29/10/2023,85,86.7
R00486,M00093,S00005,,04/10/2023,160,161.6
R00487,M00012,S00006,,21/09/2023,115,116.72
R00488,M00146,S00012,C00053,27/06/2023,25,25.37
R00489,M00270,S00011,,24/10/2023,25,25.5
R00490,M00296,S00011,C00023,17/03/2023,155,158.1
R00491,M00138,S00015,,20/08/2023,125,126.25
R00492,M00176,S00005,,25/02/2023,80,81.6
R00493,M00297,S00011,C00029,27/03/2023,25,25.5
R00494,M00291,S00011,,03/02/2023,55,55.82
R00495,M00172,S00019,,25/01/2023,110,112.2
R00496,M00020,S00002,,30/10/2023,55,55.82
R00497,M00260,S00014,C00022,03/03/2023,90,90.9
R00498,M00134,S00007,,05/04/2023,100,102
R00499,M00132,S00002,C00028,22/05/2023,55,55.82
R00500,M00185,S00019,,01/03/2023,125,126.25
R00501,M00024,S00002,,14/05/2023,60,61.2
R00502,M00281,S00012,,23/07/2023,190,191.9
R00503,M00295,S00004,,25/06/2023,155,158.1
R00504,M00047,S00005,,26/09/2023,125,127.5
R00505,M00100,S00013,,04/09/2023,110,112.2
R00506,M00100,S00005,C00041,09/05/2023,155,156.55
R00507,M00038,S00020,C00044,05/04/2023,80,81.6
R00508,M00188,S00007,C00049,18/05/2023,50,50.75
R00509,M00260,S00014,C00022,03/03/2023,55,56.1
R00510,M00122,S00007,,26/03/2023,35,35.35
R00511,M00170,S00015,,02/05/2023,85,85.85
R00512,M00265,S00009,,02/06/2023,110,111.65
R00513,M00239,S00003,,05/04/2023,110,111.1
R00514,M00070,S00014,C00025,26/03/2023,35,35.35
